Id_number,Task_name,RT,acc
subject176,0B,0.951347755,1.0
subject176,1B,1.505718587,0.727272727
subject176,2B-Face,1.067005,0.867924528
subject176,2B-Scene,1.144095277,0.769230769
subject176,EasyMath,2.0444921,0.981481481
subject176,FingerTap,0.462370583,1.0
subject176,GoNoGo,1.096994005,0.7935352360000001
subject176,HardMath,3.604191393,0.642857143
subject177,0B,1.08239673,1.0
subject177,1B,0.918029318,1.0
subject177,2B-Face,0.782934007,0.872340426
subject177,2B-Scene,0.890988454,0.833333333
subject177,EasyMath,1.927932225,1.0
subject177,FingerTap,0.419333504,1.0
subject177,GoNoGo,1.062082485,0.338772339
subject177,HardMath,2.512593876,0.76
